Autorita (základná);Datovanie (interval);Datovanie (popis);Dátum zasadania komisie;Integrita (názov celku);Integrita (počet diel);Integrita (poradové číslo);Inventárne číslo;Katalogizované;Komisia;Kurátor;Materiál;Miery;Nadobudnuté;Názov (preferovaný);Názov (všetky);Organizácia;PID;Poznámka;Prírastkové číslo;Spôsob nadobudnutia;Stav Diela;Stav záznamu;Stupeň pôvodnosti;Stupeň pôvodnosti (ident. stavu);Stupeň pôvodnosti (počet stavov);Stupeň spracovania;Technika;Typ zbierky;Vlastník;Výtvarný druh;Zapisané do evidencie;Značenie;Žáner
"Spišský rezbár";"1380 - 1430";"14. storočie, 2. polovica, koniec";;"Oltárna skriňa z Bušoviec (Viereraltar)";3;2;"DP 64";;;"Buran, Dušan";"drevo";"výška 166.0 cm; šírka 32.0 cm; výška 51.5 cm; výška 50.0 cm";"1.1.1958";"Oltárne krídlo so sv. Katarínou a sv. Dorotou z Bušoviec";"Oltárne krídlo so sv. Katarínou a sv. Dorotou z Bušoviec";"SNG";"SVK:SNG.DP_64";"POZN: 
Krídlo bolo vsadené do celku skrine pri rekonštrukcii v SNG v roku 1994 (spolu s DP 63 a DP 65).
LIT:
Glatz 1983, 35-37.
";"X 240";"depozit";"";"Dielo deponované";"originál";;;"DEF";"polychrómia; zlátenie; rezba";"Permanentná";"Slovenská národná galéria, SNG";"sochárstvo";;"neznačené";""
"Stredoeurópsky odlievač z konca 19. storočia | Buonarotti, Michelangelo - autor originálu";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"F 122";"1.1.1983";;"Beňová, Katarína";"kov, bronz";"výška 38.0 cm; šírka 41.0 cm";"24.4.1952";"Deň";"Deň";"SNG";"SVK:SNG.F_122";"POZN: Datovanie originálu - 1500-1525.";"132";"prevod";"";"Dielo katalogizované";"kópia";;;"DEF";"liatie";"Permanentná";"Slovenská národná galéria, SNG";"sochárstvo, plastika";;"neznačené";""
"Stredoeurópsky odlievač z konca 19. storočia | Buonarotti, Michelangelo - autor originálu";"1880 - 1900";"19. storočie, koniec, 1880-1900";;;;;"F 123";"1.1.1983";;"Beňová, Katarína";"kov, bronz";"výška 38.0 cm; šírka 41.0 cm";"24.4.1952";"Noc";"Noc";"SNG";"SVK:SNG.F_123";"POZN: Datovanie originálu - 1500-1525.";"132";"prevod";"";"Dielo katalogizované";"kópia";;;"DEF";"liatie";"Permanentná";"Slovenská národná galéria, SNG";"sochárstvo, plastika";;"neznačené";""
"Teniers ml., David - autor predlohy | Daullé, Jean  - grafik";"1760";"18. storočie, 2. polovica, 1760";"10.11.1975";;;;"G 10043";"1.1.1983";"109. NK";"Čičo, Martin";"kartón, zahnedlý";"výška 37.0 cm; šírka 49.3 cm; výška 32.0 cm; šírka 46.6 cm";"10.11.1975";"Flámsky chirurg";"Flámsky chirurg";"SNG";"SVK:SNG.G_10043";"POZN: ";"17997";"kúpa";"10, Slovenská národná galéria, SNG, Bratisl..., digitalizácia, Krajčovičová, Jana, Čudrnák, Michal, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole pod obrazom: Peint par Teniers.; Vpravo dole: Gravé par J. Daullé graveur du Roi 1760. ; Nápis dole pod obrazom: Le Chirurgien Flamand / Tiré du Cabinet de Monsieur Peilhon Secretaire du Roi.; Adresa dole pod nápisom: A Paris chez Daullé Graveur du Roi Quay des Augustins la porte cochere près la rue Gilles Cœur. A.P.D.R. ";"figurálna kompozícia"
"Alt, Rudolf | Libay, Karol Ľudovít";"1857";"";;;;;"G 113";;;"Beňová, Katarína";"papier, ručný";"rozmer diela : výška 19.0 cm; šírka 27.0 cm; rozmer papiera: výška 50.1 cm; šírka 66.8 cm";"1.1.1951";"Fantastický tanec egyptskej tanečnice";"Fantastický tanec egyptskej tanečnice";"SNG";"SVK:SNG.G_113";"POZN:";"287/5";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"litografia, farebná";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"neznačené";"figurálna kompozícia"
"Libay, Karol Ľudovít | Alt, Rudolf";"1857";"";;;;;"G 114";;;"Beňová, Katarína";"papier, ručný, biely";"rozmer diela : výška 35.2 cm; šírka 45.2 cm; rozmer papiera : výška 49.9 cm; šírka 66.8 cm";"1.1.1953";"Chrám v Esnehu";"Chrám v Esnehu";"SNG";"SVK:SNG.G_114";"POZN: voľný list z albumu Egypt ";"287/6";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"litografia, farebná";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"neznačené";"veduta"
"Goltzius, Hendrick";"1586";"16. storočie, 2. polovica, 1586";"1.1.1957";"Rímski hrdinovia";10;2;"G 1460";;"27. NK";"Čičo, Martin";"papier, ručný, nažltlý";"výška 36.4 cm; šírka 23.0 cm; (orezané), prvý stav z dvoch : ";"1.1.1957";"Horatius Cocles (2)";"Horatius Cocles (2) | Rímsky žoldnier v bitve s Etruskami (Predchádzajúci názov)";"SNG";"SVK:SNG.G_1460";"POZN: Lit.: H 163; Strauss I, 1977, s. 386-387; Bludní Holanďania 2007, s. 71.";"1094/a";"kúpa";"";"Dielo katalogizované";"originál";;;"DEF";"rytina, medirytina";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signované vľavo dole v obraze: HG. fe. (iniciály spojené); Text dole pod obrazom: Coclitis Ethruscis audacia restitit armis, /
Roma hostine sis praeda iugumq[ue] tuo. /
Sublicio de ponte refers Tiberine cadentem, /
Qui potuit tali Roma perire Duce? 
";"figurálna kompozícia"
"Pérelle, Gabriel - pravdepodobne";"1650 - 1665";"17. storočie, 2. polovica, 1650-1665";"1.1.1958";;;;"G 1904";;"31. NK";"Čičo, Martin";"papier, ručný, zažltlý";"výška 22.7 cm; šírka 31.9 cm";"1.1.1958";"Prímestská krajina ";"Prímestská krajina  | Tanec (Predchádzajúci názov)";"SNG";"SVK:SNG.G_1904";"POZN: úhrnná cena viď.kartu G 1899
Autorom je pravdepodobne Gabriel spomedzi členov rodiny Pérelle.";"1364";"kúpa";"10, Slovenská národná galéria, SNG, SNG, digitalizácia, Hergott, Vladimír, Čičo, Martin, voľným okom, vyhovujúce";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"Signatúra vľavo dole: Perelle jnuent[!] et fecit; Vpravo dole pod obrazom: Auec priuilege du Roy; Text dole pod obrazom: A Paris chez F. de Poilly rue S.t Iacques à l’image S.t Benoist ";"figurálna kompozícia"
"Rembrandt van Rijn";"1635 - 1650";"17. storočie, 1. polovica, 1635-1650 okolo";;;;;"G 2054";;;"Čičo, Martin";"papier, ručný, zažltlý";"výška 14.0 cm; šírka 11.5 cm";"1.1.1951";"Potulní muzikanti";"Potulní muzikanti | Strolling Musicians  (Preklad názvu)";"SNG";"SVK:SNG.G_2054";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 22-23.";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"neznačené";"figurálna kompozícia"
"Rembrandt van Rijn";"1658";"17. storočie, 2. polovica, 1658";;;;;"G 2055";;;"Čičo, Martin";"kartón, ručný, zažltlý";"výška 12.4 cm; šírka 15.8 cm; výška 12.6 cm; šírka 16.0 cm";"1.1.1951";"Kristus a samaritánka";"Kristus a samaritánka | Christ and the Woman of Samaria (Preklad názvu)";"SNG";"SVK:SNG.G_2055";"POZN: 

LIT:
Rusina, Ivan. Majstrovské diela nizozemského umenia na Slovensku. Bratislava : SNG, 2006, 29.";"1484";"prevod";"";"Dielo katalogizované";"originál";;;"DEF";"lept";"Permanentná";"Slovenská národná galéria, SNG";"grafika, voľná";;"vľavo: Rembrandt 16.5.8.";"figurálna kompozícia"
